Start date;End date;Germany/Luxembourg [€/MWh] Calculated resolutions;∅ DE/LU neighbours [€/MWh] Calculated resolutions;Belgium [€/MWh] Calculated resolutions;Denmark 1 [€/MWh] Calculated resolutions;Denmark 2 [€/MWh] Calculated resolutions;France [€/MWh] Calculated resolutions;Netherlands [€/MWh] Calculated resolutions;Norway 2 [€/MWh] Calculated resolutions;Austria [€/MWh] Calculated resolutions;Poland [€/MWh] Calculated resolutions;Sweden 4 [€/MWh] Calculated resolutions;Switzerland [€/MWh] Calculated resolutions;Czech Republic [€/MWh] Calculated resolutions;DE/AT/LU [€/MWh] Calculated resolutions;Northern Italy [€/MWh] Calculated resolutions;Slovenia [€/MWh] Calculated resolutions;Hungary [€/MWh] Calculated resolutions
Jun 3, 2024;Jun 10, 2024;78.40;64.92;65.90;60.49;66.34;36.86;69.93;41.41;77.54;104.99;54.90;55.62;80.15;-;106.76;98.36;90.67
Jun 10, 2024;Jun 17, 2024;63.96;55.37;49.88;56.41;60.08;21.01;62.09;39.30;60.60;101.48;45.33;46.06;66.85;-;97.64;79.40;77.11
Jun 17, 2024;Jun 24, 2024;81.15;70.54;74.94;76.94;77.91;51.50;78.82;53.24;68.37;102.35;61.43;48.36;82.12;-;108.76;108.47;96.25
Jun 24, 2024;Jul 1, 2024;77.12;67.86;63.22;69.16;70.21;51.05;72.59;37.58;71.31;116.57;64.41;45.52;84.87;-;99.49;98.34;114.14
Jul 1, 2024;Jul 8, 2024;51.33;45.04;35.35;39.06;43.52;26.82;45.31;26.28;51.40;102.61;39.75;28.00;57.33;-;103.08;69.45;91.64
Jul 8, 2024;Jul 15, 2024;68.58;61.06;57.98;66.99;66.04;52.39;67.39;34.61;55.54;115.58;48.17;39.27;67.71;-;106.77;84.28;177.87
Jul 15, 2024;Jul 22, 2024;71.05;63.69;62.33;66.65;67.11;57.62;71.18;33.63;68.19;123.90;37.56;43.45;69.00;-;106.62;106.74;182.31
Jul 22, 2024;Jul 29, 2024;76.24;63.57;59.99;70.96;70.72;50.04;72.46;37.94;74.83;107.10;29.44;43.66;82.13;-;110.22;93.34;111.59
Jul 29, 2024;Aug 5, 2024;79.19;64.89;63.80;76.29;76.41;53.42;76.86;51.14;74.20;88.49;34.89;38.14;80.14;-;115.59;87.25;90.88
Aug 5, 2024;Aug 12, 2024;75.83;59.45;53.88;61.25;61.96;30.49;71.85;36.21;75.99;87.37;52.97;39.46;82.51;-;122.42;97.44;93.30
Aug 12, 2024;Aug 19, 2024;96.41;80.22;76.77;94.32;94.04;65.54;89.88;50.17;92.86;99.00;62.89;59.24;97.68;-;125.71;107.61;126.93
Aug 19, 2024;Aug 26, 2024;60.97;54.04;48.20;46.19;46.90;43.45;55.11;30.50;75.94;100.49;11.88;60.96;74.86;-;121.58;101.75;126.39
Aug 26, 2024;Sep 2, 2024;92.38;80.61;81.57;85.05;82.21;78.95;87.85;37.58;99.52;112.50;31.79;88.29;101.41;-;132.85;146.11;147.57
Sep 2, 2024;Sep 9, 2024;98.32;87.70;89.94;86.07;85.82;82.34;94.82;42.11;108.53;111.84;62.42;97.82;102.93;-;135.80;140.90;156.06
Sep 9, 2024;Sep 16, 2024;79.83;66.37;65.96;68.79;68.16;51.37;79.85;39.23;82.17;103.57;7.92;79.80;83.25;-;107.39;89.72;109.21
Sep 16, 2024;Sep 23, 2024;80.26;68.43;65.53;80.39;80.78;42.86;77.54;40.13;81.41;94.74;25.90;80.64;82.86;-;109.28;88.61;94.79
Sep 23, 2024;Sep 30, 2024;63.64;52.97;53.00;59.27;54.47;35.15;68.00;32.87;62.21;71.46;10.73;70.58;64.95;-;110.81;66.81;73.23
Sep 30, 2024;Oct 7, 2024;72.38;69.22;64.87;63.62;63.42;57.15;74.03;46.06;76.04;116.90;36.37;82.03;80.93;-;118.30;81.91;85.78
Oct 7, 2024;Oct 14, 2024;68.22;57.97;63.00;58.33;56.17;46.52;73.37;39.30;66.71;82.99;17.08;65.31;68.86;-;102.85;68.50;71.44
Oct 14, 2024;Oct 21, 2024;75.78;64.72;70.35;71.54;70.63;52.82;80.03;38.41;71.13;86.52;26.83;66.95;76.75;-;113.46;73.96;77.88
Oct 21, 2024;Oct 28, 2024;100.58;83.03;86.77;93.71;94.98;70.74;98.48;38.53;100.61;114.74;15.14;95.53;104.16;-;119.46;104.70;108.76
Oct 28, 2024;Nov 4, 2024;108.32;87.72;103.10;82.41;80.72;85.27;110.26;39.01;112.28;104.52;27.74;107.65;112.00;-;114.59;113.46;115.15
Nov 4, 2024;Nov 11, 2024;146.20;121.61;124.39;129.94;130.23;111.25;135.11;47.62;142.12;143.73;105.41;122.81;145.06;-;123.22;142.22;148.78
Nov 11, 2024;Nov 18, 2024;120.29;107.90;117.55;96.33;96.31;110.50;118.39;46.91;146.81;122.20;68.12;128.58;135.21;-;132.61;164.55;230.13
Nov 18, 2024;Nov 25, 2024;94.03;101.24;95.26;90.72;90.31;88.47;97.79;83.82;118.81;106.46;83.61;130.94;127.40;-;135.71;127.74;157.07
Nov 25, 2024;Dec 2, 2024;101.84;99.08;103.17;80.22;79.30;97.71;105.12;51.47;125.43;126.53;56.65;128.07;136.14;-;138.77;128.84;137.92
Dec 2, 2024;Dec 9, 2024;114.12;109.83;107.97;96.14;98.58;95.58;110.50;69.94;136.17;141.23;72.06;135.26;144.75;-;147.11;142.41;157.28
Dec 9, 2024;Dec 16, 2024;176.85;154.09;153.23;163.80;162.95;130.25;165.41;134.61;183.40;129.75;131.98;153.48;186.13;-;153.08;181.49;189.06
Dec 16, 2024;Dec 23, 2024;51.92;61.94;62.37;30.36;34.00;60.66;60.65;27.76;96.50;70.28;28.01;111.23;99.46;-;120.29;105.60;120.79
Dec 23, 2024;Dec 30, 2024;103.25;91.15;105.20;94.92;94.78;104.46;105.34;34.34;109.18;111.79;24.25;109.70;108.69;-;121.95;111.02;114.77
Dec 30, 2024;Jan 6, 2025;73.87;81.81;85.87;58.66;57.27;90.14;90.86;54.23;117.39;70.88;50.19;117.82;106.61;-;139.86;116.65;123.96
Jan 6, 2025;Jan 13, 2025;90.56;91.70;95.49;81.32;73.12;89.65;99.99;61.11;112.77;98.72;59.87;123.43;113.21;-;131.21;112.64;118.84
Jan 13, 2025;Jan 20, 2025;147.93;121.59;142.18;111.91;124.58;137.71;142.98;46.04;150.39;143.74;46.45;144.66;146.92;-;147.84;151.37;155.13
Jan 20, 2025;Jan 27, 2025;134.98;124.94;126.91;122.08;124.31;113.11;131.32;90.11;156.96;123.82;88.07;152.85;144.83;-;154.29;161.47;171.11
Jan 27, 2025;Feb 3, 2025;117.12;110.33;107.75;107.36;110.92;90.57;113.33;79.38;128.94;123.47;84.52;139.10;128.33;-;142.62;129.51;131.23
Feb 3, 2025;Feb 10, 2025;135.31;125.22;140.18;109.99;124.71;138.06;132.35;81.88;138.42;136.55;87.87;150.88;136.56;-;153.93;139.21;140.61
Feb 10, 2025;Feb 17, 2025;144.82;138.25;149.72;127.05;127.68;140.73;143.74;108.81;154.19;144.16;119.83;156.73;148.13;-;160.17;161.91;167.77
Feb 17, 2025;Feb 24, 2025;106.26;108.26;105.27;95.27;98.38;100.17;106.32;81.11;133.11;120.87;88.73;144.44;117.23;-;148.25;141.59;165.83
Feb 24, 2025;Mar 3, 2025;119.44;105.00;110.83;109.16;107.34;101.12;112.14;55.45;130.68;125.70;48.72;133.86;120.03;-;132.93;138.85;160.55
Mar 3, 2025;Mar 10, 2025;93.50;76.67;89.23;65.08;63.94;75.80;88.99;35.60;104.00;89.23;21.33;115.51;94.65;-;122.70;109.13;119.49
Mar 10, 2025;Mar 17, 2025;110.62;103.91;106.01;107.64;106.49;100.69;106.22;72.14;110.93;112.94;88.88;119.97;111.15;-;119.65;110.64;111.07
Mar 17, 2025;Mar 24, 2025;77.91;77.56;78.56;73.85;70.09;56.90;80.17;43.13;95.54;85.41;58.59;117.89;93.01;-;123.86;94.93;96.20
Mar 24, 2025;Mar 31, 2025;91.86;85.20;87.53;83.49;86.71;71.50;88.06;46.79;101.99;104.25;54.52;114.83;97.54;-;119.83;100.99;101.15
Mar 31, 2025;Apr 7, 2025;74.39;70.86;65.07;75.60;75.35;38.26;66.11;54.84;83.24;86.96;60.50;94.42;79.13;-;114.35;85.32;87.66
Apr 7, 2025;Apr 14, 2025;77.31;69.55;70.63;69.41;71.02;38.55;72.96;50.27;85.92;91.26;46.64;87.72;80.62;-;103.37;90.39;95.90
Apr 14, 2025;Apr 21, 2025;82.62;70.83;80.09;75.31;76.29;36.88;80.85;48.09;81.71;87.87;42.64;86.01;83.42;-;102.51;85.26;85.19
Apr 21, 2025;Apr 28, 2025;82.61;78.19;81.12;84.81;84.71;58.67;82.26;69.07;80.05;86.48;70.32;80.74;81.88;-;88.97;83.37;82.20
Apr 28, 2025;May 5, 2025;60.04;54.90;59.07;61.34;61.08;25.19;59.82;49.83;59.41;66.78;44.55;57.10;59.77;-;76.88;59.90;60.31
May 5, 2025;May 12, 2025;76.18;71.85;61.25;82.94;83.41;9.61;69.70;80.51;75.72;96.30;79.18;73.41;78.29;-;96.69;86.59;84.45
May 12, 2025;May 19, 2025;68.61;65.03;64.46;69.28;62.75;23.10;65.62;68.19;69.81;98.40;51.98;67.73;74.02;-;95.26;98.57;87.00
May 19, 2025;May 26, 2025;69.09;64.74;65.51;55.48;56.03;19.27;66.27;60.94;78.65;99.14;46.54;82.78;81.52;-;97.51;94.27;91.17
May 26, 2025;Jun 2, 2025;61.93;59.29;56.27;52.48;52.96;28.00;60.06;53.62;66.40;98.81;48.80;66.94;67.87;-;98.90;73.51;74.89
Jun 2, 2025;Jun 9, 2025;64.71;59.23;59.33;60.85;60.47;17.09;62.95;55.78;63.75;92.03;44.23;58.31;76.71;-;98.94;92.15;89.59
Jun 9, 2025;Jun 16, 2025;53.80;56.26;60.35;55.38;55.16;28.14;62.78;56.13;57.05;79.50;49.43;49.25;65.67;-;112.02;79.79;72.90
Jun 16, 2025;Jun 23, 2025;71.82;66.26;74.26;69.59;62.26;51.58;75.98;62.18;72.10;75.48;36.75;69.35;79.31;-;115.85;86.33;83.30
Jun 23, 2025;Jun 30, 2025;63.61;60.62;65.58;46.73;45.13;61.28;68.09;48.39;72.43;78.59;18.85;73.72;87.99;-;116.24;94.16;91.27
Jun 30, 2025;Jul 7, 2025;91.16;81.99;94.03;78.47;80.90;75.50;93.34;57.71;93.07;99.85;31.18;98.50;99.30;-;122.29;111.83;105.98
Jul 7, 2025;Jul 14, 2025;86.55;78.79;83.06;85.18;78.75;49.96;87.15;66.65;86.27;105.84;45.35;89.01;89.49;-;109.76;90.27;93.74
Jul 14, 2025;Jul 21, 2025;88.60;81.52;81.01;88.45;88.57;60.89;87.19;73.96;88.08;103.53;42.50;90.58;92.01;-;117.75;98.78;98.29
Jul 21, 2025;Jul 28, 2025;89.63;81.90;80.38;88.07;85.00;56.50;87.97;78.50;88.01;103.92;46.60;92.54;93.44;-;107.31;122.00;117.12
Jul 28, 2025;Aug 4, 2025;76.44;69.47;70.72;69.73;63.76;47.94;74.83;68.59;75.50;92.39;48.68;76.43;75.60;-;103.22;82.39;87.50
Aug 4, 2025;Aug 11, 2025;59.66;53.56;51.55;46.43;50.83;40.99;58.15;47.86;58.51;81.69;23.09;69.09;60.95;-;106.71;68.11;70.29
Aug 11, 2025;Aug 18, 2025;81.85;78.62;77.06;81.23;81.69;66.34;81.61;76.19;78.76;85.22;74.48;80.58;81.69;-;112.50;83.14;85.78
Aug 18, 2025;Aug 25, 2025;80.32;78.43;76.48;78.60;79.77;58.48;79.34;77.67;80.89;89.04;76.32;84.55;81.58;-;104.11;81.64;82.60
Aug 25, 2025;Sep 1, 2025;90.19;84.75;74.14;90.14;92.33;55.56;82.77;85.27;83.10;102.36;90.95;86.56;89.06;-;108.19;85.17;85.12
Sep 1, 2025;Sep 8, 2025;84.90;77.40;56.60;83.05;86.26;28.79;72.48;64.78;87.07;112.47;82.14;88.80;88.93;-;103.75;88.93;94.84
Sep 8, 2025;Sep 15, 2025;92.99;82.72;62.27;84.86;92.06;26.36;85.92;59.16;100.07;121.65;76.63;99.89;101.10;-;108.82;103.09;112.85
Sep 15, 2025;Sep 22, 2025;50.97;54.72;46.59;27.54;50.26;32.91;52.44;39.97;70.66;88.02;28.09;91.87;73.55;-;108.78;75.19;84.93
Sep 22, 2025;Sep 29, 2025;90.93;82.11;78.86;76.88;90.30;44.17;87.26;71.21;98.80;99.87;61.63;100.00;94.18;-;107.87;98.31;103.31
Sep 29, 2025;Oct 6, 2025;79.17;77.13;64.30;72.82;79.64;42.94;75.45;49.98;105.97;101.99;65.36;100.06;89.97;-;102.25;108.65;113.40
Oct 6, 2025;Oct 13, 2025;103.27;92.12;96.97;91.74;93.04;78.47;101.74;66.61;108.59;108.82;58.44;104.89;104.06;-;113.60;111.66;121.46
Oct 13, 2025;Oct 20, 2025;116.63;107.16;99.40;112.80;117.68;78.78;108.94;74.71;126.59;125.60;103.04;114.29;116.95;-;119.68;130.42;145.87
Oct 20, 2025;Oct 27, 2025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Oct 27, 2025;Nov 3, 2025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Nov 3, 2025;Nov 10, 2025;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
